,animal_name,Class_Name,class_type,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,air_breather,water_breather,venomous,fins,tail,legs
0,aardvark,Mammal,1,True,False,False,True,False,False,True,True,True,True,False,False,False,False,4
1,aardwolf,Mammal,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
2,african_elephant,Mammal,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
3,alligator,Reptile,3,True,False,True,False,False,True,True,True,True,True,False,False,True,True,4
4,alpaca,Mammal,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
5,antelope,Mammal,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
6,armadillo,Mammal,1,True,False,True,False,False,False,True,True,True,True,False,False,False,True,4
7,asian_elephant,Mammal,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
8,axolotl,Amphibian,5,False,False,True,False,False,True,True,True,True,True,True,False,False,False,4
9,aye-aye,Mammal,1,True,False,True,False,False,False,True,True,True,True,False,False,False,True,4
10,baboon,Mammal,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
11,bald_eagle,Bird,2,False,True,True,False,True,True,True,True,True,True,False,False,False,False,2
12,bali_tiger,Mammal,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
13,balinese_tiger,Mammal,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
14,bass,Fish,4,False,False,True,False,False,True,True,True,True,False,True,False,True,True,0
15,bat,Mammal,1,True,False,True,False,True,False,True,True,True,True,False,False,False,True,2
16,bear,Mammal,1,True,False,False,True,False,False,True,True,True,True,False,False,False,False,4
17,bengal_tiger,Mammal,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
18,bilby,Mammal,1,True,False,True,False,False,False,True,True,True,True,False,False,False,False,4
19,binturong,Mammal,1,True,False,True,False,False,False,True,True,True,True,False,False,False,True,4
20,bison,Mammal,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
21,black_rhinoceros,Mammal,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
22,blue_whale,Mammal,1,True,False,False,True,False,True,True,True,True,True,False,False,True,True,0
23,boar,Mammal,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
24,bonobo,Mammal,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
25,bowhead_whale,Mammal,1,True,False,False,True,False,True,True,True,True,True,False,False,True,True,0
26,buffalo,Mammal,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
27,calf,Mammal,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
28,capybara,Mammal,1,True,False,False,True,False,True,False,True,True,True,False,False,False,True,4
29,caracal,Mammal,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
30,carp,Fish,4,False,False,True,False,False,True,False,True,True,False,True,False,True,True,0
31,caspiantiger,Mammal,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
32,cassowary,Bird,2,False,True,True,False,True,False,True,False,True,True,False,False,False,False,2
33,cat,Mammal,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
34,catfish,Fish,4,False,False,True,False,False,True,True,True,True,False,True,False,True,True,0
35,cavy,Mammal,1,True,False,False,True,False,False,False,True,True,True,False,False,False,False,4
36,chameleon,Reptile,3,True,False,True,False,False,False,True,True,True,True,False,False,False,False,4
37,cheetah,Mammal,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
38,cheetah_lizard,Reptile,3,True,False,True,False,False,False,True,True,True,True,False,False,False,True,4
39,chicken,Bird,2,False,True,True,False,True,False,False,False,True,True,False,False,False,True,2
40,chimpanzee,Mammal,1,True,False,False,True,False,False,False,True,True,True,False,False,False,False,2
41,chinchilla,Mammal,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
42,chipmunk,Mammal,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
43,chub,Fish,4,False,False,True,False,False,True,True,True,True,False,True,False,True,True,0
44,civet,Mammal,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
45,clam,Invertebrate,7,False,False,True,False,False,False,True,False,False,False,False,False,False,False,0
46,coati,Mammal,1,True,False,True,False,True,False,True,True,True,True,False,False,False,True,4
47,common_porpoise,Mammal,1,False,False,False,True,False,True,True,True,True,True,False,False,True,True,0
48,common_seal,Mammal,1,True,False,False,True,False,True,True,True,True,True,False,False,True,True,0
49,cow,Mammal,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
50,crab,Invertebrate,7,False,False,True,False,False,True,True,False,False,False,False,False,False,False,4
51,crayfish,Invertebrate,7,False,False,True,False,False,True,True,False,False,False,False,False,False,False,6
52,crocodile,Reptile,3,True,False,True,False,False,True,True,True,True,True,False,False,True,True,4
53,crow,Bird,2,False,True,True,False,True,False,True,False,True,True,False,False,False,True,2
54,deer,Mammal,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
55,desert_hedgehog,Mammal,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
56,dhole,Mammal,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
57,dingo,Mammal,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
58,dog,Mammal,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
59,dogfish,Fish,4,False,False,True,False,False,True,True,True,True,False,True,False,True,True,0
60,dolphin,Mammal,1,False,False,False,True,False,True,True,True,True,True,False,False,True,True,0
61,dove,Bird,2,False,True,True,False,True,False,False,False,True,True,False,False,False,True,2
62,dromedary,Mammal,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
63,dromedary_cavy,Mammal,1,True,False,False,True,False,False,False,True,True,True,False,False,False,False,4
64,dromedary_jaguar,Mammal,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
65,duck,Bird,2,False,True,True,False,True,True,False,False,True,True,False,False,False,True,2
66,dugong,Mammal,1,True,False,False,True,False,True,True,True,True,True,False,False,True,True,0
67,echidna,Mammal,1,True,False,True,False,False,False,True,True,True,True,False,False,False,True,2
68,elephant,Mammal,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
69,elephant_bee,Bug,6,True,False,True,False,True,False,False,False,True,True,False,True,False,False,6
70,elephant_seal,Mammal,1,True,False,False,True,False,True,True,True,True,True,False,False,True,True,4
71,emu,Bird,2,False,True,True,False,True,False,False,False,True,True,False,False,False,False,2
72,european_hedgehog,Mammal,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
73,fennec_fox,Mammal,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
74,ferret,Mammal,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
75,flamingo,Bird,2,False,True,True,False,True,False,False,False,True,True,False,False,False,True,2
76,flea,Bug,6,False,False,True,False,False,False,False,False,False,True,False,False,False,False,6
77,fossa,Mammal,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
78,fox,Mammal,1,True,False,False,True,False,False,True,True,True,True,False,False,False,False,4
79,frog,Amphibian,5,False,False,True,False,False,True,True,True,True,True,True,False,False,False,4
80,fruitbat,Mammal,1,True,False,False,True,True,False,False,True,True,True,False,False,False,True,2
81,galago,Mammal,1,True,False,True,False,True,False,True,True,True,True,False,False,False,True,4
82,gaur,Mammal,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
83,gazelle,Mammal,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
84,giant_armadillo,Mammal,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
85,giant_panda,Mammal,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
86,gibbon,Mammal,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
87,giraffe,Mammal,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
88,giraffe_snake,Reptile,3,False,False,True,False,False,False,True,True,True,True,False,True,False,True,0
89,gnat,Bug,6,False,False,True,False,True,False,False,False,False,True,False,False,False,False,6
90,goat,Mammal,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
91,gorilla,Mammal,1,True,False,False,True,False,False,False,True,True,True,False,False,False,False,2
92,gorilla_falcon,Bird,2,True,True,True,False,True,False,True,False,True,True,False,False,False,True,2
93,gray_whale,Mammal,1,True,False,False,True,False,True,True,True,True,True,False,False,True,True,0
94,guanaco,Mammal,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
95,guinea pig,Mammal,1,True,False,True,False,False,False,False,True,True,True,False,False,False,True,4
96,guinea_pig,Mammal,1,True,False,False,True,False,False,False,True,True,True,False,False,False,False,4
97,gull,Bird,2,False,True,True,False,True,True,True,False,True,True,False,False,False,True,2
98,haddock,Fish,4,False,False,True,False,False,True,False,True,True,False,True,False,True,True,0
99,hamster,Mammal,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
100,hare,Mammal,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
101,hawk,Bird,2,False,True,True,False,True,False,True,False,True,True,False,False,False,True,2
102,hedgehog,Mammal,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
103,hedgehog_bat,Mammal,1,True,True,False,True,True,False,True,True,True,True,False,False,False,True,2
104,herring,Fish,4,False,False,True,False,False,True,True,True,True,False,True,False,True,True,0
105,hindu_porcupine,Mammal,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
106,hippopotamus,Mammal,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
107,honey_badger,Mammal,1,True,False,True,False,False,False,True,True,True,True,False,False,False,False,4
108,honeybee,Bug,6,True,False,True,False,True,False,False,False,False,True,False,True,False,False,6
109,horse,Mammal,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
110,housefly,Bug,6,True,False,True,False,True,False,False,False,False,True,False,False,False,False,6
111,human,Mammal,1,True,False,False,True,False,False,True,True,True,True,False,False,False,False,2
112,humpback_whale,Mammal,1,True,False,False,True,False,True,True,True,True,True,False,False,True,True,0
113,hyena,Mammal,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
114,hyrax,Mammal,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
115,ibex,Mammal,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
116,iguana,Reptile,3,False,False,True,False,False,True,True,True,True,True,False,False,False,True,4
117,iguana_moose,Mammal,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
118,indian_elephant,Mammal,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
119,indian_rhinoceros,Mammal,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
120,indian_tiger,Mammal,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
121,indochinese_tiger,Mammal,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
122,jaguar_octopus,Invertebrate,7,True,False,True,False,False,True,True,True,True,True,False,False,True,True,8
123,jaguarundi,Mammal,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
124,java_tiger,Mammal,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
125,javan_rhinoceros,Mammal,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
126,javan_tiger,Mammal,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
127,kangaroo,Mammal,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,2
128,kangaroo_grouse,Bird,2,True,True,True,False,True,False,True,True,True,True,False,False,False,True,2
129,kangaroo_rat,Mammal,1,True,False,True,False,False,False,False,True,True,True,False,False,False,True,2
130,killer_whale,Mammal,1,False,False,False,True,False,True,True,True,True,True,False,False,True,True,0
131,kinkajou,Mammal,1,True,False,True,False,True,False,True,True,True,True,False,False,False,True,4
132,kiwi,Bird,2,False,True,True,False,False,False,True,False,True,True,False,False,False,True,2
133,kiwi_bird,Bird,2,False,True,True,False,False,False,True,False,True,True,False,False,False,True,2
134,koala,Mammal,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
135,koala_hawk,Bird,2,True,True,False,True,True,False,True,True,True,True,False,False,False,True,2
136,ladybird,Bug,6,False,False,True,False,True,False,True,False,False,True,False,False,False,False,6
137,lark,Bird,2,False,True,True,False,True,False,False,False,True,True,False,False,False,True,2
138,lemming,Mammal,1,True,False,True,False,False,False,False,True,True,True,False,False,False,True,4
139,lemur,Mammal,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
140,leopard,Mammal,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
141,lion,Mammal,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
142,lion_fish,Fish,4,False,False,True,False,False,True,True,True,True,True,True,True,True,True,0
143,lizard,Reptile,3,True,False,True,False,False,False,True,True,True,True,False,False,False,True,4
144,llama,Mammal,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
145,lobster,Invertebrate,7,False,False,True,False,False,True,True,False,False,False,False,False,False,False,6
146,lynx,Mammal,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
147,malayan_tiger,Mammal,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
148,manatee,Mammal,1,True,False,False,True,False,True,True,True,True,True,False,False,True,True,0
149,maned_wolf,Mammal,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
150,marmoset,Mammal,1,True,False,True,False,True,False,True,True,True,True,False,False,False,True,4
151,marmot,Mammal,1,True,False,False,True,False,False,False,True,True,True,False,False,False,False,4
152,marten,Mammal,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
153,meerkat,Mammal,1,True,False,True,False,False,False,True,True,True,True,False,False,False,True,4
154,mink,Mammal,1,True,False,False,True,False,True,True,True,True,True,False,False,False,True,4
155,mole,Mammal,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
156,mongoose,Mammal,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
157,moth,Bug,6,True,False,True,False,True,False,False,False,False,True,False,False,False,False,6
158,mouse,Mammal,1,True,False,True,False,False,False,True,True,True,True,False,False,False,True,4
159,narwhal,Mammal,1,True,False,False,True,False,True,True,True,True,True,False,False,True,True,0
160,newt,Amphibian,5,False,False,True,False,False,True,True,True,True,True,True,False,False,True,4
161,nighthawk,Bird,2,False,True,True,False,True,True,True,False,True,True,False,False,False,True,2
162,numbat,Mammal,1,True,False,True,False,False,False,True,True,True,True,False,False,False,False,4
163,ocelot,Mammal,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
164,octopus,Invertebrate,7,False,False,True,False,False,True,True,False,False,False,False,False,False,False,8
165,okapi,Mammal,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
166,opossum,Mammal,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
167,orangutan,Mammal,1,True,False,False,True,False,False,False,True,True,True,False,False,False,False,2
168,oryx,Mammal,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
169,ostrich,Bird,2,False,True,True,False,False,False,False,False,True,True,False,False,False,True,2
170,otter,Mammal,1,True,False,False,True,False,True,True,True,True,True,False,False,False,False,4
171,owl,Bird,2,False,True,True,False,True,False,True,True,True,True,False,False,False,True,2
172,panda_eagle,Mammal,1,True,True,False,True,True,False,True,True,True,True,False,False,False,True,2
173,pangolin,Mammal,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
174,parakeet,Bird,2,False,True,True,False,True,False,False,False,True,True,False,False,False,True,2
175,parrot,Bird,2,False,True,True,False,True,False,False,True,True,True,False,False,False,True,2
176,parrot_penguin,Bird,2,False,True,True,False,True,True,True,True,True,True,False,False,False,True,2
177,peacock,Bird,2,False,True,True,False,True,False,False,False,True,True,False,False,False,False,2
178,peccary,Mammal,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
179,penguin,Bird,2,False,True,True,False,False,True,True,False,True,True,False,False,False,True,2
180,pheasant,Bird,2,False,True,True,False,True,False,False,False,True,True,False,False,False,True,2
181,pig,Mammal,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
182,pika,Mammal,1,True,False,True,False,False,False,False,True,True,True,False,False,False,True,2
183,pike,Fish,4,False,False,True,False,False,True,True,True,True,False,True,False,True,True,0
184,piranha,Fish,4,False,False,True,False,False,True,True,True,True,False,True,False,True,True,0
185,pitviper,Reptile,3,False,False,True,False,False,False,True,True,True,True,False,True,False,True,0
186,platypus,Mammal,1,True,False,True,True,False,True,True,False,True,True,False,False,False,True,4
187,polar_bear,Mammal,1,True,False,False,True,False,True,True,True,True,True,False,False,False,False,4
188,polecat,Mammal,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
189,pony,Mammal,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
190,porcupine,Mammal,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
191,porpoise,Mammal,1,False,False,False,True,False,True,True,True,True,True,False,False,True,True,0
192,potoroo,Mammal,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
193,puma,Mammal,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
194,pussycat,Mammal,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
195,quokka,Mammal,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,2
196,quoll,Mammal,1,True,False,True,False,False,False,True,True,True,True,False,False,False,True,4
197,rabbit,Mammal,1,True,False,True,False,False,False,False,True,True,True,False,False,False,True,4
198,raccoon,Mammal,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
199,rat,Mammal,1,True,False,True,False,False,False,True,True,True,True,False,False,False,True,4
200,ratel,Mammal,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
201,red_panda,Mammal,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
202,reindeer,Mammal,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
203,rhea,Bird,2,False,True,True,False,False,False,True,False,True,True,False,False,False,True,2
204,rhinoceros,Mammal,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
205,right_whale,Mammal,1,True,False,False,True,False,True,True,True,True,True,False,False,True,True,0
206,ring-tailed_lemur,Mammal,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
207,salamander,Amphibian,5,False,False,True,False,False,True,True,True,True,True,True,False,False,True,4
208,scorpion,Invertebrate,7,False,False,False,False,False,False,True,False,False,True,False,True,False,True,8
209,sea_lion,Mammal,1,True,False,False,True,False,True,True,True,True,True,False,False,True,True,2
210,sea_otter,Mammal,1,True,False,False,True,False,True,True,True,True,True,False,False,True,True,0
211,seahorse,Fish,4,False,False,True,False,False,True,False,True,True,False,True,False,True,True,0
212,seal,Mammal,1,True,False,False,True,False,True,True,True,True,True,False,False,True,False,0
213,sealion,Mammal,1,True,False,False,True,False,True,True,True,True,True,False,False,True,True,2
214,seasnake,Reptile,3,False,False,False,False,False,True,True,True,True,False,False,True,False,True,0
215,seawasp,Invertebrate,7,False,False,True,False,False,True,True,False,False,False,False,True,False,False,0
216,serval,Mammal,1,True,False,False,True,False,False,True,True,True,True,False,False,False,False,4
217,sheep,Mammal,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
218,shrimp,Invertebrate,7,False,False,True,False,False,True,True,True,True,True,False,False,False,False,6
219,siberian_tiger,Mammal,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
220,skimmer,Bird,2,False,True,True,False,True,True,True,False,True,True,False,False,False,True,2
221,skua,Bird,2,False,True,True,False,True,True,True,False,True,True,False,False,False,True,2
222,sloth,Mammal,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,2
223,sloth_frog,Amphibian,5,True,False,True,False,False,True,True,True,True,True,True,False,False,True,4
224,slowworm,Reptile,3,False,False,True,False,False,False,True,True,True,True,False,False,False,True,0
225,slug,Invertebrate,7,False,False,True,False,False,False,False,False,False,True,False,False,False,False,0
226,snake,Reptile,3,False,False,True,False,False,False,True,True,True,True,False,True,False,True,0
227,sole,Fish,4,False,False,True,False,False,True,False,True,True,False,True,False,True,True,0
228,south_china_tiger,Mammal,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
229,sparrow,Bird,2,False,True,True,False,True,False,False,False,True,True,False,False,False,True,2
230,sperm_whale,Mammal,1,True,False,False,True,False,True,True,True,True,True,False,False,True,True,0
231,spotted_skunk,Mammal,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
232,squirrel,Mammal,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,2
233,squirrel_monkey,Mammal,1,True,False,True,False,True,False,True,True,True,True,False,False,False,True,4
234,starfish,Invertebrate,7,False,False,True,False,False,True,True,False,False,False,False,False,False,False,5
235,stingray,Fish,4,False,False,True,False,False,True,True,True,True,False,True,True,True,True,0
236,stoat,Mammal,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
237,sugar_glider,Mammal,1,True,False,True,False,True,False,True,True,True,True,False,False,False,True,2
238,sumatran_rhinoceros,Mammal,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
239,sunda_island_tiger,Mammal,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
240,swan,Bird,2,False,True,True,False,True,True,False,False,True,True,False,False,False,True,2
241,takin,Mammal,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
242,tamandua,Mammal,1,True,False,True,False,False,False,True,True,True,True,False,False,False,True,4
243,tamarin,Mammal,1,True,False,True,False,True,False,True,True,True,True,False,False,False,True,4
244,tapir,Mammal,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
245,tarantula,Invertebrate,7,False,False,True,False,False,False,True,True,True,True,False,True,False,False,8
246,tarantula_gazelle,Reptile,3,False,False,True,False,False,False,True,True,True,True,False,True,False,False,6
247,tarsier,Mammal,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
248,tasmanian_devil,Mammal,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
249,termite,Bug,6,False,False,True,False,False,False,False,False,False,True,False,False,False,False,6
250,tiger,Mammal,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
251,tiger_dolphin,Mammal,1,False,False,False,True,False,True,True,True,True,True,False,False,True,True,0
252,tiger_shark,Fish,4,True,False,True,False,False,True,True,True,True,True,True,False,True,True,0
253,toad,Amphibian,5,False,False,True,False,False,True,False,True,True,True,True,False,False,False,4
254,tortoise,Reptile,3,False,False,True,False,False,False,False,False,True,True,False,False,False,True,4
255,tuatara,Reptile,3,False,False,True,False,False,False,True,True,True,True,False,False,False,True,4
256,tuna,Fish,4,False,False,True,False,False,True,True,True,True,False,True,False,True,True,0
257,umbrellabird,Bird,2,False,True,True,False,True,False,True,False,True,True,False,False,False,True,2
258,vampire,Mammal,1,True,False,False,True,True,False,False,True,True,True,False,False,False,True,2
259,vicuña,Mammal,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
260,vole,Mammal,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
261,vulture,Bird,2,False,True,True,False,True,False,True,False,True,True,False,False,False,True,2
262,wallaby,Mammal,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,2
263,wallaroo,Mammal,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,2
264,walrus,Mammal,1,True,False,False,True,False,True,True,True,True,True,False,False,True,True,0
265,wasp,Bug,6,True,False,True,False,True,False,False,False,False,True,False,True,False,False,6
266,weasel,Mammal,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
267,white_rhinoceros,Mammal,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
268,wildebeest,Mammal,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
269,wolf,Mammal,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
270,wolverine,Mammal,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
271,wombat,Mammal,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
272,worm,Invertebrate,7,False,False,True,False,False,False,False,False,False,True,False,False,False,False,0
273,wren,Bird,2,False,True,True,False,True,False,False,False,True,True,False,False,False,True,2
274,xerus,Mammal,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
275,yak,Mammal,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
276,zebra,Mammal,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
